movie title,average_rating,number_of_ratings,movie_id,release date, unknown,Action,Adventure, Animation, Children's,Comedy ,Crime,Documentary, Drama ,Fantasy, Film-Noir,Horror,Musical, Mystery, Romance,Sci-Fi,Thriller,War,Western
101 Dalmatians (1996),2.908256880733945,109,225,27-11-1996,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12 Angry Men (1957),4.344,125,178,01-01-1957,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2 Days in the Valley (1996),3.225806451612903,93,1011,27-09-1996,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"20,000 Leagues Under the Sea (1954)",3.5,72,141,01-01-1954,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2001: A Space Odyssey (1968),3.969111969111969,259,135,01-01-1968,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
"39 Steps, The (1935)",4.0508474576271185,59,615,01-01-1935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Absolute Power (1997),3.37007874015748,127,291,14-02-1997,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"Abyss, The (1989)",3.589403973509934,151,164,01-01-1989,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Ace Ventura: Pet Detective (1994),3.0485436893203883,103,67,01-01-1994,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Addams Family Values (1993),2.8160919540229883,87,386,01-01-1993,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Addicted to Love (1997),3.1666666666666665,54,535,23-05-1997,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"Adventures of Priscilla, Queen of the Desert, The (1994)",3.5945945945945947,111,382,01-01-1994,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Adventures of Robin Hood, The (1938)",3.791044776119403,67,491,01-01-1938,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"African Queen, The (1951)",4.184210526315789,152,498,01-01-1951,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Age of Innocence, The (1993)",3.3846153846153846,65,387,01-01-1993,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Air Force One (1997),3.6310904872389793,431,300,01-01-1997,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Aladdin (1992),3.8127853881278537,219,95,01-01-1992,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Alice in Wonderland (1951),3.6666666666666665,81,420,01-01-1951,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Alien (1979),4.034364261168385,291,183,01-01-1979,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
Alien 3 (1992),2.83,100,665,01-01-1992,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
Alien: Resurrection (1997),3.096774193548387,124,343,01-01-1997,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Aliens (1986),3.9471830985915495,284,176,01-01-1986,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
